StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q1,Q5,Q4
2020-03-05 11:41:08,2020-03-05 11:42:55,IP Address,35.1.209.66,100,107,True,2020-03-05 11:42:56,R_1myIFrl2xd9HhTw,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,"The facility needs to do monitoring on roads during winter.  Patches of the Icy area from parking lot to build could cause injury.  ",Life at Michigan,Faculty & Staff,
2020-03-05 11:42:27,2020-03-05 11:42:57,IP Address,35.1.212.191,100,29,True,2020-03-05 11:42:57,R_cMwsPgTPyMtYSUp,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,I love that the wifi is so strong on the Diag.,Life at Michigan,Current Student,
2020-03-05 11:42:22,2020-03-05 11:43:13,IP Address,35.1.36.66,100,50,True,2020-03-05 11:43:13,R_2AZr2BakiCOlUWf,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,My office is always so cold and my manager won't let me have a space heater. How can I type with cold fingers?,Life at Michigan,Faculty & Staff,letsgogo
2020-03-05 11:41:09,2020-03-05 11:43:24,IP Address,35.1.5.225,100,135,True,2020-03-05 11:43:24,R_T5BlSjwb8lAIFNL,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,In my opinion the access to help for a student is extremely lucrative. Never have I had difficulty finding the appropriate resources when I was in need.,Life at Michigan,Current Student,
2020-03-05 11:43:01,2020-03-05 11:43:28,IP Address,35.1.212.191,100,26,True,2020-03-05 11:43:28,R_860GqSfVLcFnCWR,,,,,42.270904541015625,-83.72679901123046875,anonymous,EN,There aren't enough transgender books in the library.,Academics,Faculty & Staff,
2020-03-05 11:43:18,2020-03-05 11:43:40,IP Address,67.194.3.92,100,21,True,2020-03-05 11:43:40,R_R5089U17vTX5AJj,,,,,42.270904541015625,-83.72679901123046875,anonymous,EN,My lunch was cold. North Quad dining is the worst.,Life at Michigan,Current Student,
2020-03-05 11:43:31,2020-03-05 11:43:53,IP Address,35.1.212.191,100,22,True,2020-03-05 11:43:54,R_Qn5wB2NlFWre66B,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,I get too many requests to donate! I get too many requests to donate! I get too many requests to donate! I get too many requests to donate! I get too many requests to donate! I get too many requests to donate! I get too many requests to donate! I get too many requests to donate!,Giving,Alumni,
2020-03-05 11:43:19,2020-03-05 11:44:21,IP Address,35.1.36.66,100,62,True,2020-03-05 11:44:21,R_11cfyJDfmO5r1V8,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,I don't think the research studies pay enough money for what they ask. I'm worried by only recruiting poor people they are biasing the results,Research,Current Student,hapybday
2020-03-05 11:43:44,2020-03-05 11:44:28,IP Address,67.194.3.92,100,44,True,2020-03-05 11:44:29,R_3kjIkaO3EkMOMbv,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,The food at UM dining halls is awful. I pay too much tuition for this quality of food and service.,Life at Michigan,Current Student,student
2020-03-05 11:41:09,2020-03-05 11:44:37,IP Address,35.1.101.163,100,208,True,2020-03-05 11:44:37,R_SCw5xtxWdQ1hBvj,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,"As a student at the University of Michigan, I have a hard time adapting to the Michigan Winter's. I have been looking for a place to get some assistance with mental help to help me cope with the cold weather, however I can never find the help I need.",Health & Medicine,Current Student,Weather
2020-03-05 11:43:58,2020-03-05 11:44:46,IP Address,35.1.212.191,100,48,True,2020-03-05 11:44:46,R_W1LD7drzBMvcwM1,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,Why is it so expensive to go to school here? and why is it so hard to get in? It's almost impossible to go here even if I'm accepted because it costs so much money.,None of these,Prospective Student,
2020-03-05 11:44:32,2020-03-05 11:45:11,IP Address,67.194.3.92,100,38,True,2020-03-05 11:45:11,R_elBhqCtHJ968Uo1,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,I received excellent care at U-M hospital. My nurse was great!,Health & Medicine,None of these,
2020-03-05 11:44:51,2020-03-05 11:45:12,IP Address,35.1.212.191,100,21,True,2020-03-05 11:45:12,R_11asr9wMnUYE3lb,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,The university catering should not serve meat.,University Initiatives,Faculty & Staff,sustaina
2020-03-05 11:42:59,2020-03-05 11:45:18,IP Address,35.1.209.66,100,139,True,2020-03-05 11:45:18,R_3svH2ZDTWoXrMk5,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,"Michigan is a great institution to learn and to work.  Having kids and husband Alumni of the school and I am as an employee who feels great pride in the University of Michigan.
Go Blue!",None of these,Faculty & Staff,hemashah
2020-03-05 11:44:26,2020-03-05 11:45:24,IP Address,35.1.36.66,100,58,True,2020-03-05 11:45:24,R_2R7ylEW2RQ8PTjS,,,,,42.270904541015625,-83.72679901123046875,anonymous,EN,I love the diversity speakers on campus. The MLK Day presentation was great!,Life at Michigan,Current Student,babyshrk
2020-03-05 11:43:28,2020-03-05 11:45:25,IP Address,35.1.5.225,100,117,True,2020-03-05 11:45:26,R_2wdCjqBjEuv79up,,,,,42.270904541015625,-83.72679901123046875,anonymous,EN,"The dining halls always have the worst foods. Every time I go in there, the options are extremely limited and never satisfy my appetite for novelty. ",Life at Michigan,Current Student,
2020-03-05 11:45:14,2020-03-05 11:46:03,IP Address,67.194.3.92,100,48,True,2020-03-05 11:46:03,R_1C11Chl0mkFyUNm,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,My son received great care at Michigan Medicine. His doctor was OK and his nurse was outstanding.,Health & Medicine,None of these,
2020-03-05 11:45:29,2020-03-05 11:46:25,IP Address,35.1.36.66,100,55,True,2020-03-05 11:46:25,R_23giLQq88dJqh8H,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,I'm required to take too many classes that aren't related to my major. I'd like more real world opportunities,Academics,Current Student,qwertyui
2020-03-05 11:45:31,2020-03-05 11:46:32,IP Address,35.1.5.225,100,61,True,2020-03-05 11:46:32,R_2EnwbSZbq2Apsfa,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,The cleanliness of the Ross bathrooms have always been superb. Many thanks to the janitorial staff!,None of these,Faculty & Staff,
2020-03-05 11:46:06,2020-03-05 11:46:32,IP Address,67.194.3.92,100,25,True,2020-03-05 11:46:32,R_11hG9XI79jxRhWz,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,My health insurance premiums are too expensive.,Health & Medicine,Faculty & Staff,
2020-03-05 11:44:41,2020-03-05 11:47:04,IP Address,35.1.101.163,100,142,True,2020-03-05 11:47:04,R_cAbTwRWe06PacJX,,,,,42.270904541015625,-83.72679901123046875,anonymous,EN,"I have been wanting to donate 5 million dollars to the IT so they would be able to bring to life some of the ideas that are created during Hacks with Friends. However, when I went to donate, they told me that I would not be able to insist upon the development of robot parking attendants.",Giving,Alumni,Cars
2020-03-05 11:46:35,2020-03-05 11:47:28,IP Address,67.194.3.92,100,52,True,2020-03-05 11:47:28,R_1dnIG6aiWfaPpJf,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,My health insurance doesn't cover my child's medical needs. We pay too much in premiums for this level of coverage.,None of these,Faculty & Staff,
2020-03-05 11:46:30,2020-03-05 11:48:20,IP Address,35.1.36.66,100,110,True,2020-03-05 11:48:20,R_1ls0xOwtwwB2PpS,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,I want to meet with departments to see if it's worthwhile to apply but no one will meet with me unless I'm already admitted.,Academics,Prospective Student,dadamama
2020-03-05 11:45:22,2020-03-05 11:49:19,IP Address,35.1.209.66,100,236,True,2020-03-05 11:49:19,R_3e9Q4F7tv8vmH1b,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,"This is a great environment for learning.  Promotes research and ideas from all students, staff, faculty, Alumni etc.  ",Academics,Alumni,
2020-03-05 11:48:25,2020-03-05 11:49:37,IP Address,35.1.36.66,100,71,True,2020-03-05 11:49:37,R_2du1xZvxmTMuIVy,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,I wish they would stop calling me asking for money. Didn't I already pay enough in tuition?,Giving,Alumni,gobluego
2020-03-05 11:47:07,2020-03-05 11:50:29,IP Address,35.1.101.163,100,201,True,2020-03-05 11:50:30,R_DiQBXuqoG1kQHIt,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,I have been looking to better understand what is expected of my daughter while she is attending the University of Michigan. She tells me that she needs a monthly stipend of $200 to purchase high quality Ethanol and Glucose based buffer solutions for her Chemistry class. Where would I find the class curriculums?,Life at Michigan,None of these,Jack
2020-03-05 11:49:41,2020-03-05 11:51:21,IP Address,35.1.36.66,100,100,True,2020-03-05 11:51:21,R_3Rh1JBJGiAIGokf,,,,,42.270904541015625,-83.72679901123046875,anonymous,EN,My travel was cancelled due to coronavirus. I was waiting for this trip for a whole year. Very disappointed,Health & Medicine,Faculty & Staff,abcabcdd
2020-03-05 11:51:27,2020-03-05 11:52:21,IP Address,35.1.36.66,100,53,True,2020-03-05 11:52:21,R_2eaMOCmrV6lgtrr,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,My professor is boring. He wears the same sweater vest everyday,Academics,Current Student,jdhfgjdg
2020-03-05 11:50:33,2020-03-05 11:52:30,IP Address,35.1.101.163,100,117,True,2020-03-05 11:52:30,R_x3jPm0XCG6p8qZP,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,"I am interested in encouraging the university to invest in Regular Tree Hugging activities for both mental health, and to help ensure that we are mindful in our sustainability efforts. However, whenever I have brought this up at meetings, I do not feel like I am being taken seriously.",University Initiatives,Current Student,Leafs
2020-03-05 11:52:26,2020-03-05 11:53:33,IP Address,35.1.36.66,100,67,True,2020-03-05 11:53:33,R_3iR09E13OfzeKzW,,,,,42.270904541015625,-83.72679901123046875,anonymous,EN,"Campus tour went great! I""m really impressed by the campus",Life at Michigan,Prospective Student,blahblah
2020-03-05 11:52:33,2020-03-05 11:54:58,IP Address,35.1.101.163,100,145,True,2020-03-05 11:54:59,R_9XHmSTz6FIbzrMd,,,,,42.270904541015625,-83.72679901123046875,anonymous,EN,"I think that the squirrels on campus are glaring at me. When I walk to class, I do not feel safe, and are convinced that they will one day attack me. I teach multiple lectures per week, and have been trying to find routes that avoid all squirrels, but have been unsuccessful. I would like them to either not glare at me, or be removed.",Life at Michigan,Faculty & Staff,Spooky
2020-03-05 11:47:33,2020-03-05 11:56:28,IP Address,67.194.3.92,100,535,True,2020-03-05 11:56:29,R_1Qabnpqiz71EBUB,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,Doing research on animals is wrong,Research,None of these,
2020-03-05 11:56:32,2020-03-05 11:57:14,IP Address,67.194.3.92,100,41,True,2020-03-05 11:57:14,R_veKB72r5ON799dv,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,My engineering program is top notch. My professors are great.,Academics,Current Student,
2020-03-05 11:49:30,2020-03-05 11:57:24,IP Address,35.1.209.66,100,473,True,2020-03-05 11:57:24,R_3GjH81zOdGkE5Yz,,,,,42.270904541015625,-83.72679901123046875,anonymous,EN,The high cost of health bills gets overwhelming.  Hope Unversity can help lowering health costs.,Health & Medicine,Current Student,
2020-03-05 11:55:05,2020-03-05 11:59:58,IP Address,35.1.101.163,100,292,True,2020-03-05 11:59:58,R_1hNehRKsTrsUEcW,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,"I have been told that once you start as a student at the University of Michigan, that you begin to bleed Maize and Blue. I am very concerned that the University does not consider this a health crisis among the student body. This is especially concerning to me, as I am interested in going Pre-med, and I do not see how that is a very healthy way to live. I am wondering if I decide to attend the university, is there a way to avoid this hazard?",Health & Medicine,Prospective Student,Maizy
2020-03-05 11:57:18,2020-03-05 11:59:58,IP Address,67.194.3.92,100,159,True,2020-03-05 11:59:58,R_25WpLa47FOvJKhY,,,,,42.306793212890625,-83.705902099609375,anonymous,EN,My tour of UM was lousy. The tour guide was mean.,Life at Michigan,Prospective Student,
